person_name;grasping_exploratory;grasping_performance;grasping_double;gender;time_1;time_2;time_3;mean_jerk_x;mean_jerk_y;mean_jerk_z;mean_jerk_vector;mean_jerk_1_x;mean_jerk_2_x;mean_jerk_3_x;mean_jerk_1_y;mean_jerk_2_y;mean_jerk_3_y;mean_jerk_1_z;mean_jerk_2_z;mean_jerk_3_z;mean_jerk_1_vector;mean_jerk_2_vector;mean_jerk_3_vector;pos_peaks_1;neg_peaks_1;pos_peaks_2;neg_peaks_2;pos_peaks_3;neg_peaks_3;pos_peaks;neg_peaks;time;height;level;experience;training;age
p1;0,8;0,2;0,5;0;0,371347785;0,136065971;0,356802244;0,399768908;0,091591638;0,445071624;0,033050853;0;0;0,030845874;0,141278515;0,2007196;0,052807675;0,192540564;0,101293936;0,177517488;0,060026474;0,037151134;0,014861987;0,666666667;0,514285714;0,075757576;0,131147541;0,238095238;0,338983051;0,356521739;0,356060606;0,281037746;0.5517241379310345;0.0;0.42857142857142855;0.0;0.5384615384615384
p2;0,8;0,7;1;1;0,52262017;0,406257579;0,533520337;0,450937524;0,333577678;0,362116047;0,468800602;0,595871949;0,242731944;0,373593223;1;0,672020834;0,433721995;0,952752707;0,418767418;0,438285074;0,644041863;0,256592069;0,390123532;0,428571429;0,457142857;0,681818182;0,885245902;0,857142857;0,86440678;0,913043478;0,909090909;0,510967598;0.4827586206896552;0.0;0.10204081632653061;0.16666666666666666;0.38461538461538464
p3;1;0,2;0,5;1;0,217247879;0,301479505;0,356802244;0,19693896;0,354954134;0,114621209;0,334295138;0,803135535;0,277671916;0,174248262;0,510408879;0,309433922;0,163470186;0,545625415;0,396732594;0,466951703;0,44512283;0,221332846;0,243503602;0,238095238;0,242857143;0,212121212;0,213114754;0,206349206;0,355932203;0,182608696;0,257575758;0,320565639;0.0;0.3333333333333333;0.5102040816326531;0.3333333333333333;0.15384615384615385
p4;0,8;0,2;0,5;1;0,65598492;0,439485811;0,578401122;0,017230527;0;0,087852052;0,673442237;0,751089015;0,406411337;1;0,503963936;0,621387657;1;0,448095178;0,333421257;1;0,437690759;0,209712413;1;0,603174603;0,5;0,46969697;0,491803279;0,095238095;0,288135593;0,469565217;0,492424242;0,57554838;0.3793103448275862;0.0;0.14285714285714285;0.16666666666666666;0.38461538461538464
p5;0,4;0,1;0,5;0;0,063619227;0,10817366;0;0,270388897;0,228054809;0,436771976;0,041520421;0,231113993;0,099503373;0;0,036013182;0,081485381;0;0,056652069;0,042738507;0;0,097007745;0,04851049;0;0,365079365;0,342857143;0,378787879;0,360655738;0,317460317;0,508474576;0,408695652;0,446969697;0,053891549;0.6551724137931034;0.6666666666666666;0.46938775510204084;0.16666666666666666;0.46153846153846156
p6;0,6;0,1;1;1;0,226201697;0,146252729;0,463394109;1;1;0,727536348;0,171635708;0,570094476;0,156080792;0,258437942;0,420312323;0,188404909;0,231668699;0,276664911;0,10107283;0,122001527;0,265703049;0,092109431;0,141625953;0,396825397;0,485714286;0,606060606;0,573770492;0,857142857;0,915254237;0,852173913;0,803030303;0,29373121;0.7586206896551724;1.0;0.46938775510204084;0.5;0.23076923076923078
p7;0,4;0,2;0,5;1;0,295475966;0,239146253;0,445441795;0,617153612;0,862970399;1;0,189120958;0,939873437;0,242101422;0,305981933;0,393647954;0,24961647;0,22174668;0,242616885;0,120536418;0,128448984;0,286570715;0,104035584;0,154176486;0,428571429;0,442857143;1;1;0,571428571;0,847457627;0,939130435;0,946969697;0,345618528;0.4482758620689655;0.6666666666666666;0.3469387755102041;1.0;0.15384615384615385
p8;0,8;0,5;1;1;0,63336475;0,583313122;0,392987377;0;0,145822464;0,016335054;0,305454881;0,30407166;0,22084551;0,330277857;0,124286186;0,058134212;0,238356724;0,131593847;0,113951169;0,366937203;0,164998821;0,135436293;0,432950899;0,047619048;0,142857143;0,348484848;0,262295082;0,047619048;0,13559322;0,069565217;0,128787879;0,562632224;0.4482758620689655;0.0;0.5918367346938775;0.0;0.3076923076923077
p9;0,2;0,2;0,5;0;0,089538172;0,019160805;0,056381487;0,203801974;0,388264576;0,066600161;0,155924562;0,41843327;0,129931319;0,161359945;0,397593185;0,124076303;0,067725872;0,564397607;0,263210642;0,158568284;0,27742411;0,108923362;0,080281404;0,063492063;0;0,454545455;0,360655738;0,301587302;0,457627119;0,27826087;0,242424242;0,041532123;0.6896551724137931;0.5;0.7142857142857143;0.6666666666666666;0.3076923076923077
p10;0,6;0,4;0;0;0,407163054;0,297598836;0,555119215;0,480187014;0,446121694;0,357341561;0,231228757;0,774161052;0,240722596;0,364783224;0,590540067;0,235271636;0,495294247;0,569057803;0,330858193;0,290639837;0,271874003;0,142970272;0,206301293;0,682539683;0,7;0,303030303;0,278688525;0,365079365;0,559322034;0,565217391;0,621212121;0,442378354;0.5517241379310345;0.5;0.1836734693877551;0.5;0.3076923076923077
p11;0;0,4;0;0;0,451460886;0,392917778;0,355960729;0,245543871;0,254146815;0,598805997;0,215984052;0,747939552;0,294677185;0,357716355;0,520314439;0,290067447;0,253277156;0,215331305;0,108995224;0,200228353;0,305954747;0,134156791;0,165073036;0,396825397;0,228571429;0,333333333;0,393442623;1;1;0,773913043;0,621212121;0,417548157;1.0;0.5;0.0;0.3333333333333333;0.0
p12;0,4;0;0,5;0;0,446748351;0,185787048;0,268443198;0,032838215;0,051775388;0;1;1;1;0,417976425;0,875285181;1;0,45282621;1;1;0,483819348;1;1;0,450626573;0;0,085714286;0,151515152;0,098360656;0,19047619;0,271186441;0,008695652;0,083333333;0,286605055;0.6896551724137931;0.3333333333333333;0.1836734693877551;0.16666666666666666;0.07692307692307693
p13;0,4;0,1;0;1;0;0;0,027208976;0,360438324;0,221097047;0,014657622;0,293424482;0,546556501;0,225714338;0,068561613;0,486934686;0,435142966;0,174940764;0,485482567;0,525171117;0,104158515;0,342856723;0,317913947;0,090266411;0,301587302;0,328571429;0;0;0,46031746;0,542372881;0,234782609;0,287878788;0;0.4827586206896552;0.0;1.0;0.0;1.0
p14;0,4;0,1;0,5;1;0,004712535;0,032500606;0,192145863;0,213373853;0,066905359;0,130592135;0,056208235;0,185208843;0,073858215;0,140809608;0,325911204;0,102084621;0,020851513;0,177428226;0,15550076;0,103038034;0,107375601;0,035659677;0,042049838;0,333333333;0,414285714;0,090909091;0,081967213;0,095238095;0,254237288;0,104347826;0,242424242;0,0815054;0.27586206896551724;0.3333333333333333;0.3469387755102041;0.3333333333333333;0.6153846153846154
p15;0,8;0,2;0,5;1;1;0,603686636;0,654698457;0,183868294;0,492645263;0,256775786;0;0,04597301;0,000473453;0,059024046;0;0;0,096999231;0;0;0,140184343;0;0;0,019730993;1;1;0,621212121;0,62295082;0,507936508;0,694915254;1;1;0,762498608;0.20689655172413793;0.0;0.14285714285714285;0.0;0.38461538461538464
p16;0,6;0,2;0,5;0;0,267200754;0,144797478;0,372510519;0,077180644;0,074840678;0,069107106;0,158504745;0,280478484;0,231649785;0,077617093;0,168907773;0,441042135;0,084953465;0,083826139;0,180698024;0,105888779;0,123692302;0,183128888;0,076240093;0,301587302;0,214285714;0,03030303;0,032786885;0;0;0;0;0,26667409;0.6551724137931034;0.0;0.3469387755102041;0.5;0.9230769230769231
p17;0,4;0,3;0;0;0,234213007;0,095561484;0,415708275;0,113104949;0,371162698;0,296046156;0,137180626;0,196800181;0,065263553;0,103521604;0,220447421;0,036140926;0,183298171;0,273368582;0,113116902;0,181027854;0,256891932;0,045387579;0,128392608;0,031746032;0,057142857;0,454545455;0,37704918;0,349206349;0,406779661;0,286956522;0,257575758;0,253423895;0.41379310344827586;0.6666666666666666;0.6326530612244898;0.16666666666666666;1.0
